contentId,recommended_contentIds
-6451309518266745024,"[np.int64(-4110354420726924665), np.int64(3353902017498793780), np.int64(1485652648052127324), np.int64(5274322067107287523), np.int64(3067875254349597654)]"
-4110354420726924665,"[np.int64(-4110354420726924665), np.int64(3353902017498793780), np.int64(1485652648052127324), np.int64(5274322067107287523), np.int64(3067875254349597654)]"
-7292285110016212249,"[np.int64(1220948775534529013), np.int64(-2489051066377567114), np.int64(8926283897590637985), np.int64(7845570490247450966), np.int64(8631616594020837056)]"
-6151852268067518688,"[np.int64(8298709454703868984), np.int64(8596997246990922861), np.int64(4877833951599818487), np.int64(4563606877148407012), np.int64(-7586203274767893481)]"
2448026894306402386,"[np.int64(1266958185239582088), np.int64(-692972306229904743), np.int64(-2273517184910006534), np.int64(6419848550542384295), np.int64(2916072977192006313)]"
-2826566343807132236,"[np.int64(-3528088210002754978), np.int64(-6725796505137573953), np.int64(4463025528374352465), np.int64(-4374331682165863764), np.int64(-6249065792190816357)]"
-2148899391355011268,"[np.int64(-205193648629294862), np.int64(2727743992157210358), np.int64(5929055844564382383), np.int64(-1868297195590431285), np.int64(-2273517184910006534)]"
4119190424078847945,"[np.int64(4463025528374352465), np.int64(2916072977192006313), np.int64(5410603488837817052), np.int64(1266958185239582088), np.int64(-1480913447590268358)]"
-7926018713416777892,"[np.int64(1266958185239582088), np.int64(-1868297195590431285), np.int64(2900029983899283273), np.int64(2255603060224026824), np.int64(-3810375613673461625)]"
3353902017498793780,"[np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(1485652648052127324), np.int64(5274322067107287523), np.int64(-6713697716910928909)]"
-9157338616628196758,"[np.int64(2617330491231854367), np.int64(123378787151399958), np.int64(1012456848389051365), np.int64(-5082274522455747241), np.int64(-5843518165523212471)]"
1805789466376069146,"[np.int64(5199666313044493096), np.int64(-2081760549863309770), np.int64(-4864344772765973009), np.int64(-1249436522568155938), np.int64(-8858741052589364245)]"
-2081760549863309770,"[np.int64(1805789466376069146), np.int64(5199666313044493096), np.int64(5062670850994683718), np.int64(5619251370090681244), np.int64(-847494979958007433)]"
-5170198873410718233,"[np.int64(6873454157736399518), np.int64(7963184191158282052), np.int64(5934557073194045393), np.int64(2639926854188906104), np.int64(8494390949377713372)]"
-3367778232969996503,"[np.int64(9178250635927683), np.int64(-8239286201029609369), np.int64(4774970687540378081), np.int64(4644672909721737325), np.int64(-7033990154815318757)]"
4988225165850707692,"[np.int64(8736111317960965711), np.int64(7664140604181040222), np.int64(-5973686110278905367), np.int64(-3537777320523757545), np.int64(4671890082953295903)]"
-5917314377186856799,"[np.int64(6157037646878010131), np.int64(-1669098707776725430), np.int64(-5636731245639685654), np.int64(1120323498091467525), np.int64(-7565625515044903967)]"
6157037646878010131,"[np.int64(-5917314377186856799), np.int64(-5636731245639685654), np.int64(-1669098707776725430), np.int64(-7565625515044903967), np.int64(270443693434886127)]"
6023609667389715259,"[np.int64(3611701510490148233), np.int64(-6035458164887182128), np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(3353902017498793780)]"
7905485530310717815,"[np.int64(-7358932766266901263), np.int64(-7358932766266901263), np.int64(8550670510357310628), np.int64(-4374331682165863764), np.int64(-6725796505137573953)]"
8194079557551008273,"[np.int64(1266958185239582088), np.int64(-2273517184910006534), np.int64(-3528088210002754978), np.int64(-1868297195590431285), np.int64(6419848550542384295)]"
-1672166631728511207,"[np.int64(5847540986736720765), np.int64(-2167839778474325326), np.int64(123378787151399958), np.int64(-4386371945374980231), np.int64(-321691855821364131)]"
-4374331682165863764,"[np.int64(-7358932766266901263), np.int64(-7358932766266901263), np.int64(8550670510357310628), np.int64(3075564241645350154), np.int64(4463025528374352465)]"
5714314286511882372,"[np.int64(-4615179238096674750), np.int64(9213260650272029784), np.int64(8169351562924200055), np.int64(6162786478796754684), np.int64(-8968101771604200516)]"
-8141818108252244664,"[np.int64(-7009536306337650657), np.int64(5779887740609126631), np.int64(8869575677747285539), np.int64(6341647533150019811), np.int64(-8254222281357012124)]"
-8939172344092554931,"[np.int64(8545647269051113523), np.int64(3750772607644674028), np.int64(-4833307637594287163), np.int64(-8520302351158933500), np.int64(2841545035570793472)]"
-1591454024897803197,"[np.int64(8968837261991914049), np.int64(4785499183287168509), np.int64(8302949268716967655), np.int64(3293246847422795557), np.int64(-3951274083288934897)]"
-6874540813378776198,"[np.int64(5842191581670322333), np.int64(-8187220755213888616), np.int64(6097677219931837830), np.int64(1981046186743381313), np.int64(-4126288159365354498)]"
-3173020603774823976,"[np.int64(4788854083489560153), np.int64(1649752043999819668), np.int64(-7992053163122498177), np.int64(2930191803881821526), np.int64(8473367604990946179)]"
-9107331682787867601,"[np.int64(-605114438206384896), np.int64(3035329611795434601), np.int64(-2855910583928922225), np.int64(-6993279786012379694), np.int64(5842191581670322333)]"
-1021685224930603833,"[np.int64(-5255285107284514595), np.int64(231281690254211527), np.int64(-5082274522455747241), np.int64(4313871021753084020), np.int64(-6761163882540291832)]"
1392715980907132808,"[np.int64(1266958185239582088), np.int64(-5464698687596686623), np.int64(-1868297195590431285), np.int64(2255603060224026824), np.int64(-3810375613673461625)]"
-6142462826726347616,"[np.int64(-1868297195590431285), np.int64(1266958185239582088), np.int64(-3810375613673461625), np.int64(2255603060224026824), np.int64(6200172800690402606)]"
2255603060224026824,"[np.int64(1266958185239582088), np.int64(-1868297195590431285), np.int64(2900029983899283273), np.int64(-3810375613673461625), np.int64(5274322067107287523)]"
3037840448416371691,"[np.int64(1266958185239582088), np.int64(-6941293448141178017), np.int64(6419848550542384295), np.int64(-1868297195590431285), np.int64(-3810375613673461625)]"
7767869406844505704,"[np.int64(-5829979886567267504), np.int64(-4218676349553328084), np.int64(-8942026248671582808), np.int64(-5179258585851879449), np.int64(2731915238980099593)]"
-7202774608580336956,"[np.int64(-6792965795755857419), np.int64(-486686184692655504), np.int64(7508152369854945139), np.int64(8297658253225035519), np.int64(1805849336099641652)]"
