content_id,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9.2228E+18,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Google search now provides access to basic healthcare information in India,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,Once Upon a Time in the West (1968),Man accidentally deletes his entire company with one line of bad code
-9.21693E+18,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Using Google Analytics with Leadfeeder for B2B Lead Generation,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,How CEOs Can Keep Their Analytics Programs from Being a Waste of Time,"Cultura de Web Analytics e Métricas, o que é? Métricas Boss"
-9.19457E+18,"STEMTera, uma protoboard com Arduino Uno embutido",New Trend Briefing from TrendWatching | AUTONOMANIA!,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Curso mbed na KL25Z - Primeiros passos - Embarcados,Asus ready to take bite of 'Pi' market with Tinker micro PC
-9.19255E+18,Chrome OS now has Material Design for the desktop,NES Classic Edition Coming This November,Aligning text smartly in CSS,MacOS Sierra Preview,"PostgreSQL Bloat: origins, monitoring and managing",Cello
-9.19074E+18,The Real Product Market Fit,Email Isn't The Thing You're Bad At,"Predicting the future, one week at a time",The Startup Zeitgeist,How to grow your startup with no budget,Platforms are the real powerhouses in Silicon Valley's business landscape
-9.18966E+18,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Baião de Dois - uma delicia brasileiríssima,SwiftCoders by Garric Nahapetian on iTunes,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Bolinho de parmesão,5 Ways to Save Time During Research | Viget
-9.18414E+18,Correntistas podem renegociar dívidas com o banco pela internet,Correntistas podem renegociar dívidas com o banco pela internet,Sony Smart Tennis Sensor for Tennis Rackets,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Course] Gamification - University of Pennsylvania | Coursera,Presenting to the Boss(es) | Pluralsight
-9.17614E+18,Livraria dá adeus a estoque e imprime livros na hora,Salesforce Einstein delivers artificial intelligence across the Salesforce platform,What DeepMind brings to Alphabet,I'm trying my hardest to slow the fuck down - HI MY NAME IS JON,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",MIT and Microsoft Research made a 'smart' tattoo that remotely controls your phone
-9.17267E+18,Tecnologia para colher mais e o uso do GPS,Tecnologia para colher mais e o uso do GPS,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Android Quickstart - Firebase,"ConstraintLayout, Inside and Out: Part 2"
-9.17148E+18,Decentralized Options Exchange Etheropt Uses Automated Ethereum Smart Contract,Lessons from a Google App Engine SRE on how to serve over 100 billion requests per day,Google launches distributed version of its TensorFlow machine learning system,Google shares data center security and design best practices,Roupas com Wifi e GPS? Desenvolvedor une tecnologia com o universo têxtil - Startupi,Calculating and searching 500 billion digits of Pi
